SITE_ID,TIMESERIES_ID,START_DATETIME,END_DATETIME,CORRECTION_FACTOR,DESCRIPTION,CORRECTION_ID
HILLB,WD_RAW,2016-06-14 18:30:00,,,Wind direction orientation calculated incorrectly in program,WD
HOLLN,WD_RAW,2014-03-25 00:00:00,,,Wind direction orientation calculated incorrectly in program,WD
LIZRD,WD_RAW,2014-10-17 00:00:00,,,Wind direction orientation calculated incorrectly in program,WD
LODTN,WD_RAW,2016-04-26 23:00:00,,,Wind direction orientation calculated incorrectly in program,WD
LULLN,WD_RAW,2014-12-16 00:00:00,,,Wind direction orientation calculated incorrectly in program,WD
MOORH,WD_RAW,2014-12-04 00:00:00,,,Wind direction orientation calculated incorrectly in program,WD
MORLY,WD_RAW,2014-05-14 00:00:00,,,Wind direction orientation calculated incorrectly in program,WD
NWYKE,WD_RAW,2014-10-16 00:00:00,,,Wind direction orientation calculated incorrectly in program,WD
PLYNL,WD_RAW,2014-11-05 00:00:00,,,Wind direction orientation calculated incorrectly in program,WD
PORTN,WD_RAW,2014-12-18 00:00:00,,,Wind direction orientation calculated incorrectly in program,WD
RDMER,WD_RAW,2015-02-11 00:00:00,,,Wind direction orientation calculated incorrectly in program,WD
REDHL,WD_RAW,2016-02-18 00:00:00,,,Wind direction orientation calculated incorrectly in program,WD
RISEH,WD_RAW,2016-05-04 00:00:00,,,Wind direction orientation calculated incorrectly in program,WD
ROTHD,WD_RAW,2014-07-25 00:00:00,,,Wind direction orientation calculated incorrectly in program,WD
SOURH,WD_RAW,2014-11-19 00:00:00,,,Wind direction orientation calculated incorrectly in program,WD
SPENF,WD_RAW,2016-11-23 10:00:00,,,Wind direction orientation calculated incorrectly in program,WD
STGHT,WD_RAW,2015-08-18 00:00:00,,,Wind direction orientation calculated incorrectly in program,WD
STIPS,WD_RAW,2014-11-06 00:00:00,,,Wind direction orientation calculated incorrectly in program,WD
TADHM,WD_RAW,2014-10-14 00:00:00,,,Wind direction orientation calculated incorrectly in program,WD
