Location Name,PlacingStartDate,PlacingEndDate,Manufacturer,Model,Version,SerialNumber,Comment,PPM
Campbell Sci Ltd,08-May-24,,Hukseflux,NR01,,2945,PPM,TRUE
Campbell Sci Ltd,09-May-24,22-May-24,Mobotix,S14D,,10.12.108.168,,TRUE
Campbell Sci Ltd,09-May-24,,Mobotix,Lens,,5922409,,TRUE
Campbell Sci Ltd,09-May-24,,Mobotix,Lens,,5901058,,TRUE
Campbell Sci Ltd,09-May-24,31-Jul-24,Lambrecht,rainE,,881821.0012,,TRUE
Campbell Sci Ltd,09-May-24,01-Aug-24,Lambrecht,rainE,,881821.0035,,TRUE
Morley,09-May-24,29-Aug-24,Gill,Windmaster,3D Sonic Anemometer,140304,PPM,TRUE
Campbell Sci Ltd,09-May-24,21-May-24,Gill,Windmaster,3D Sonic Anemometer,140403,PPM,TRUE
Morley,09-May-24,,Sierra Wireless,Airlink LX60,None,WP90140038011003,PPM,TRUE
Campbell Sci Ltd,09-May-24,,Sierra Wireless,Airlink LX60,None,WP90140076011003,PPM,TRUE
Morley,09-May-24,,Vaisala,HMP155,A,L1320545,PPM,TRUE
Campbell Sci Ltd,09-May-24,,Vaisala,HMP155,A,M2920116,PPM,TRUE
Morley,09-May-24,,Vaisala,PTB110,,T4740219,PPM,TRUE
Campbell Sci Ltd,09-May-24,05-Sep-24,Vaisala,PTB110,,T4740223,PPM,TRUE
Campbell Sci Ltd,09-May-24,,Campbell Scientific Ltd,SDM-SI01,A,E3789,,TRUE
Wallingford,13-May-24,,Hukseflux,NR01,,2754,,FALSE
Wallingford,13-May-24,,Mobotix,Lens,,6461792,,FALSE
Wallingford,13-May-24,,Mobotix,Lens,,6462892,,FALSE
Wallingford,13-May-24,27-Sep-24,Mobotix,S16D,,10.29.116.135,,FALSE
Holme Lacy,14-May-24,,Vaisala,HMP155,A,L1320542 ,PPM,TRUE
Wallingford,14-May-24,17-Jul-24,Vaisala,HMP155,A,V1051041,PPM,TRUE
Holme Lacy,14-May-24,,Hukseflux,NR01,,2458,PPM,TRUE
Holme Lacy,14-May-24,,Gill,Windmaster,3D Sonic Anemometer,160908,PPM,TRUE
Holme Lacy,14-May-24,,Vaisala,PTB110,,T4710743,PPM,TRUE
