ID,SERIAL_NUMBER,START_DATETIME,END_DATETIME,FIRMWARE,INSTRUMENT_ID
155,140403,25/03/2014,09/08/2019,2329 600,AWS_ANEM
156,140404,25/03/2014,09/08/2019,2329 600,AWS_ANEM
157,140404,09/08/2019,,2329 701 01,AWS_ANEM
158,140405,13/09/2019,,2329 701 01,AWS_ANEM
159,140405,25/03/2014,13/09/2019,2329 600,AWS_ANEM
160,140501,01/08/2020,,2329 701 01,AWS_ANEM
161,140501,25/03/2014,01/08/2020,2329 600 01,AWS_ANEM
162,140802,25/03/2014,01/01/2021,2329 601 01,AWS_ANEM
163,140802,01/01/2021,,2329 701,AWS_ANEM
164,140803,25/03/2014,,2329 600 01,AWS_ANEM
165,140804,30/03/2019,,2329 701 01,AWS_ANEM
166,140804,25/03/2014,30/03/2019,2329 600,AWS_ANEM
167,140805,25/03/2014,,2329 600 01,AWS_ANEM
168,140806,01/01/2020,,2329 701 01,AWS_ANEM
169,140806,25/03/2014,01/01/2020,2329 600,AWS_ANEM
170,140807,25/03/2014,01/08/2020,2329 600 01,AWS_ANEM
171,140807,01/08/2020,,2329 701 01,AWS_ANEM
172,140808,25/03/2014,,2329 600 01,AWS_ANEM
173,140809,30/03/2019,,2329 701 01,AWS_ANEM
174,140809,25/03/2014,30/03/2019,2329 600,AWS_ANEM
175,140810,01/01/2020,,2329 701 01,AWS_ANEM
176,140810,25/03/2014,01/01/2020,2329 601 01,AWS_ANEM
177,144201,25/03/2014,09/08/2019,2329 601,AWS_ANEM
178,144201,09/08/2019,,2329 701 01,AWS_ANEM
179,144202,01/01/2018,,2329 701 01,AWS_ANEM
180,144202,25/03/2014,01/01/2018,2329 601,AWS_ANEM
181,144204,25/03/2014,01/11/2016,2329 601,AWS_ANEM
182,144204,01/11/2016,,2329 701 01,AWS_ANEM
183,144206,25/03/2014,,2329 601 03,AWS_ANEM
184,144207,01/06/2017,,2329 701 01,AWS_ANEM
185,144207,25/03/2014,01/06/2017,2329 601,AWS_ANEM
186,144208,01/08/2017,,2329 701 01,AWS_ANEM
187,144208,25/03/2014,01/08/2017,2329 601,AWS_ANEM
188,144209,01/08/2017,,2329 701 01,AWS_ANEM
189,144209,25/03/2014,01/08/2017,2329 601,AWS_ANEM
190,144210,01/08/2017,08/11/2022,2329 701 01,AWS_ANEM
191,144210,25/03/2014,01/08/2017,2329 601,AWS_ANEM
192,144302,25/03/2014,01/07/2017,2329 601,AWS_ANEM
193,144302,01/07/2017,,2329 701 01,AWS_ANEM
194,160817,01/01/2016,,2329 700 01,AWS_ANEM
195,160818,01/01/2016,,2329 700 01,AWS_ANEM
196,160818,08/11/2022,,,AWS_ANEM
197,160905,01/01/2016,,2329 700 01,AWS_ANEM
198,160906,01/01/2016,,2329 700 01,AWS_ANEM
199,160907,01/01/2016,,2329 700 01,AWS_ANEM
200,160908,01/01/2016,,2329 700 01,AWS_ANEM
201,160909,01/01/2016,,2329 700 01,AWS_ANEM
