ID,Name,Compliance Asset Id,Title,Description,URL,Date of Calibration,Manufacturer,Instrument,Serial Number,Color Tag,Date,Content Type,Checked Out To,File Size,App Created By,App Modified By,Workflow Instance ID,File Type,Created,Created By,Modified,Modified By,URL Path,Path,Item Type,Encoded Absolute URL
828,20130725_CR3000_8473.pdf#https://cehacuk.sharepoint.com/sites/LSFMGroup/Calibration%20Documentation/20130725_CR3000_8473.pdf#,,,,,25/07/2013,Campbell Sci.,Data Logger,8473,,,Document,,70712,,,,pdf,20/07/2021,ADMIN Phillip Hill,20/07/2021,ADMIN Phillip Hill,sites/LSFMGroup/Calibration Documentation/20130725_CR3000_8473.pdf,sites/LSFMGroup/Calibration Documentation,0,https://cehacuk.sharepoint.com/sites/LSFMGroup/Calibration%20Documentation/20130725_CR3000_8473.pdf
824,20130726_CR3000_8470.pdf#https://cehacuk.sharepoint.com/sites/LSFMGroup/Calibration%20Documentation/20130726_CR3000_8470.pdf#,,,,,26/07/2013,Campbell Sci.,Data Logger,8470,,,Document,,73180,,,,pdf,20/07/2021,ADMIN Phillip Hill,20/07/2021,ADMIN Phillip Hill,sites/LSFMGroup/Calibration Documentation/20130726_CR3000_8470.pdf,sites/LSFMGroup/Calibration Documentation,0,https://cehacuk.sharepoint.com/sites/LSFMGroup/Calibration%20Documentation/20130726_CR3000_8470.pdf
816,20130801_NR01-10_1937.pdf#https://cehacuk.sharepoint.com/sites/LSFMGroup/Calibration%20Documentation/20130801_NR01-10_1937.pdf#,,,,,01/08/2013,Hukseflux,Radiometer,1937,,,Document,,78070,,,,pdf,20/07/2021,ADMIN Phillip Hill,20/07/2021,ADMIN Phillip Hill,sites/LSFMGroup/Calibration Documentation/20130801_NR01-10_1937.pdf,sites/LSFMGroup/Calibration Documentation,0,https://cehacuk.sharepoint.com/sites/LSFMGroup/Calibration%20Documentation/20130801_NR01-10_1937.pdf
818,20130801_NR01-10_1938.pdf#https://cehacuk.sharepoint.com/sites/LSFMGroup/Calibration%20Documentation/20130801_NR01-10_1938.pdf#,,,,,01/08/2013,Hukseflux,Radiometer,1938,,,Document,,79629,,,,pdf,20/07/2021,ADMIN Phillip Hill,20/07/2021,ADMIN Phillip Hill,sites/LSFMGroup/Calibration Documentation/20130801_NR01-10_1938.pdf,sites/LSFMGroup/Calibration Documentation,0,https://cehacuk.sharepoint.com/sites/LSFMGroup/Calibration%20Documentation/20130801_NR01-10_1938.pdf
820,20130801_NR01-10_1939.pdf#https://cehacuk.sharepoint.com/sites/LSFMGroup/Calibration%20Documentation/20130801_NR01-10_1939.pdf#,,,,,01/08/2013,Hukseflux,Radiometer,1939,,,Document,,78180,,,,pdf,20/07/2021,ADMIN Phillip Hill,20/07/2021,ADMIN Phillip Hill,sites/LSFMGroup/Calibration Documentation/20130801_NR01-10_1939.pdf,sites/LSFMGroup/Calibration Documentation,0,https://cehacuk.sharepoint.com/sites/LSFMGroup/Calibration%20Documentation/20130801_NR01-10_1939.pdf
822,20130801_NR01-10_1940.pdf#https://cehacuk.sharepoint.com/sites/LSFMGroup/Calibration%20Documentation/20130801_NR01-10_1940.pdf#,,,,,01/08/2013,Hukseflux,Radiometer,1940,,,Document,,78385,,,,pdf,20/07/2021,ADMIN Phillip Hill,20/07/2021,ADMIN Phillip Hill,sites/LSFMGroup/Calibration Documentation/20130801_NR01-10_1940.pdf,sites/LSFMGroup/Calibration Documentation,0,https://cehacuk.sharepoint.com/sites/LSFMGroup/Calibration%20Documentation/20130801_NR01-10_1940.pdf
1454,20130907_Rotronic_HC2-S3_0061212029.pdf#https://cehacuk.sharepoint.com/sites/LSFMGroup/Calibration%20Documentation/20130907_Rotronic_HC2-S3_0061212029.pdf#,,,,,07/09/2013,Rotronic,Humidity/Temp.,0061212029,,,Document,,46530,,,,pdf,03/11/2022,Thelma Gibson,03/11/2022,Thelma Gibson,sites/LSFMGroup/Calibration Documentation/20130907_Rotronic_HC2-S3_0061212029.pdf,sites/LSFMGroup/Calibration Documentation,0,https://cehacuk.sharepoint.com/sites/LSFMGroup/Calibration%20Documentation/20130907_Rotronic_HC2-S3_0061212029.pdf
1455,20130907_Rotronic_HC2-S3_0061212082.pdf#https://cehacuk.sharepoint.com/sites/LSFMGroup/Calibration%20Documentation/20130907_Rotronic_HC2-S3_0061212082.pdf#,,,,,07/09/2013,Rotronic,Humidity/Temp.,0061212082,,,Document,,45927,,,,pdf,03/11/2022,Thelma Gibson,03/11/2022,Thelma Gibson,sites/LSFMGroup/Calibration Documentation/20130907_Rotronic_HC2-S3_0061212082.pdf,sites/LSFMGroup/Calibration Documentation,0,https://cehacuk.sharepoint.com/sites/LSFMGroup/Calibration%20Documentation/20130907_Rotronic_HC2-S3_0061212082.pdf
1456,20130907_Rotronic_HC2-S3_0061212106.pdf#https://cehacuk.sharepoint.com/sites/LSFMGroup/Calibration%20Documentation/20130907_Rotronic_HC2-S3_0061212106.pdf#,,,,,07/09/2013,Rotronic,Humidity/Temp.,0061212106,,,Document,,44812,,,,pdf,07/11/2022,Thelma Gibson,07/11/2022,Thelma Gibson,sites/LSFMGroup/Calibration Documentation/20130907_Rotronic_HC2-S3_0061212106.pdf,sites/LSFMGroup/Calibration Documentation,0,https://cehacuk.sharepoint.com/sites/LSFMGroup/Calibration%20Documentation/20130907_Rotronic_HC2-S3_0061212106.pdf
1488,20130916_Rotronic_HC2-S3_0061212012.pdf#https://cehacuk.sharepoint.com/sites/LSFMGroup/Calibration%20Documentation/20130916_Rotronic_HC2-S3_0061212012.pdf#,,,,,16/09/2013,Rotronic,Humidity/Temp.,0061212012,,,Document,,46429,,,,pdf,12/12/2022,Naimah Begum,12/12/2022,Naimah Begum,sites/LSFMGroup/Calibration Documentation/20130916_Rotronic_HC2-S3_0061212012.pdf,sites/LSFMGroup/Calibration Documentation,0,https://cehacuk.sharepoint.com/sites/LSFMGroup/Calibration%20Documentation/20130916_Rotronic_HC2-S3_0061212012.pdf
1485,20130925_Rotronic_HC2-S3_0061211935.pdf#https://cehacuk.sharepoint.com/sites/LSFMGroup/Calibration%20Documentation/20130925_Rotronic_HC2-S3_0061211935.pdf#,,,,,25/09/2013,Rotronic,Humidity/Temp.,0061211935,,,Document,,47244,,,,pdf,12/12/2022,Naimah Begum,12/12/2022,Naimah Begum,sites/LSFMGroup/Calibration Documentation/20130925_Rotronic_HC2-S3_0061211935.pdf,sites/LSFMGroup/Calibration Documentation,0,https://cehacuk.sharepoint.com/sites/LSFMGroup/Calibration%20Documentation/20130925_Rotronic_HC2-S3_0061211935.pdf
1486,20130925_Rotronic_HC2-S3_0061211924.pdf#https://cehacuk.sharepoint.com/sites/LSFMGroup/Calibration%20Documentation/20130925_Rotronic_HC2-S3_0061211924.pdf#,,,,,25/09/2013,Rotronic,Humidity/Temp.,0061211924,,,Document,,47456,,,,pdf,12/12/2022,Naimah Begum,12/12/2022,Naimah Begum,sites/LSFMGroup/Calibration Documentation/20130925_Rotronic_HC2-S3_0061211924.pdf,sites/LSFMGroup/Calibration Documentation,0,https://cehacuk.sharepoint.com/sites/LSFMGroup/Calibration%20Documentation/20130925_Rotronic_HC2-S3_0061211924.pdf
1487,20130925_Rotronic_HC2-S3_0061212089.pdf#https://cehacuk.sharepoint.com/sites/LSFMGroup/Calibration%20Documentation/20130925_Rotronic_HC2-S3_0061212089.pdf#,,,,,25/09/2013,Rotronic,Humidity/Temp.,0061212089,,,Document,,47047,,,,pdf,12/12/2022,Naimah Begum,12/12/2022,Naimah Begum,sites/LSFMGroup/Calibration Documentation/20130925_Rotronic_HC2-S3_0061212089.pdf,sites/LSFMGroup/Calibration Documentation,0,https://cehacuk.sharepoint.com/sites/LSFMGroup/Calibration%20Documentation/20130925_Rotronic_HC2-S3_0061212089.pdf
1457,20130926_Rotronic_HC2-S3_0061211899.pdf#https://cehacuk.sharepoint.com/sites/LSFMGroup/Calibration%20Documentation/20130926_Rotronic_HC2-S3_0061211899.pdf#,,,,,26/09/2013,Rotronic,Humidity/Temp.,0061211899,,,Document,,47559,,,,pdf,07/11/2022,Thelma Gibson,07/11/2022,Thelma Gibson,sites/LSFMGroup/Calibration Documentation/20130926_Rotronic_HC2-S3_0061211899.pdf,sites/LSFMGroup/Calibration Documentation,0,https://cehacuk.sharepoint.com/sites/LSFMGroup/Calibration%20Documentation/20130926_Rotronic_HC2-S3_0061211899.pdf
1458,20130926_Rotronic_HC2-S3_0061211923.pdf#https://cehacuk.sharepoint.com/sites/LSFMGroup/Calibration%20Documentation/20130926_Rotronic_HC2-S3_0061211923.pdf#,,,,,26/09/2013,Rotronic,Humidity/Temp.,0061211923,,,Document,,47515,,,,pdf,07/11/2022,Thelma Gibson,07/11/2022,Thelma Gibson,sites/LSFMGroup/Calibration Documentation/20130926_Rotronic_HC2-S3_0061211923.pdf,sites/LSFMGroup/Calibration Documentation,0,https://cehacuk.sharepoint.com/sites/LSFMGroup/Calibration%20Documentation/20130926_Rotronic_HC2-S3_0061211923.pdf
1459,20130926_Rotronic_HC2-S3_0061211931.pdf#https://cehacuk.sharepoint.com/sites/LSFMGroup/Calibration%20Documentation/20130926_Rotronic_HC2-S3_0061211931.pdf#,,,,,26/09/2013,Rotronic,Humidity/Temp.,0061211931,,,Document,,43878,,,,pdf,07/11/2022,Thelma Gibson,07/11/2022,Thelma Gibson,sites/LSFMGroup/Calibration Documentation/20130926_Rotronic_HC2-S3_0061211931.pdf,sites/LSFMGroup/Calibration Documentation,0,https://cehacuk.sharepoint.com/sites/LSFMGroup/Calibration%20Documentation/20130926_Rotronic_HC2-S3_0061211931.pdf
1460,20130926_Rotronic_HC2-S3_0061211940.pdf#https://cehacuk.sharepoint.com/sites/LSFMGroup/Calibration%20Documentation/20130926_Rotronic_HC2-S3_0061211940.pdf#,,,,,26/09/2013,Rotronic,Humidity/Temp.,0061211940,,,Document,,46947,,,,pdf,07/11/2022,Thelma Gibson,07/11/2022,Thelma Gibson,sites/LSFMGroup/Calibration Documentation/20130926_Rotronic_HC2-S3_0061211940.pdf,sites/LSFMGroup/Calibration Documentation,0,https://cehacuk.sharepoint.com/sites/LSFMGroup/Calibration%20Documentation/20130926_Rotronic_HC2-S3_0061211940.pdf
