TIMESERIES_ID,TIMESERIES_DEF,PARAMETER_ID
COSMOS-ALIC1-CTS_MOD2_30MIN_PROCESSED,CTS_MOD2_30MIN_PROCESSED,CTS
COSMOS-ALIC1-CTS_MOD2_RH_30MIN_PROCESSED,CTS_MOD2_RH_30MIN_PROCESSED,RH
COSMOS-ALIC1-CTS_MOD2_TEMP_30MIN_PROCESSED,CTS_MOD2_TEMP_30MIN_PROCESSED,TEMP_CRNS
COSMOS-ALIC1-CTS_MOD2_PERIOD_30MIN_PROCESSED,CTS_MOD2_PERIOD_30MIN_PROCESSED,MEASURE_PERIOD
COSMOS-ALIC1-E_SAT_MEAN_30MIN_PROCESSED,E_SAT_MEAN_30MIN_PROCESSED,VAPOUR_P
COSMOS-ALIC1-G1_30MIN_PROCESSED,G1_30MIN_PROCESSED,HEATFLUX_SOIL
COSMOS-ALIC1-G2_30MIN_PROCESSED,G2_30MIN_PROCESSED,HEATFLUX_SOIL
COSMOS-ALIC1-HS_30MIN_PROCESSED,HS_30MIN_PROCESSED,HEATFLUX_SENSIBLE
COSMOS-ALIC1-LWIN_30MIN_PROCESSED,LWIN_30MIN_PROCESSED,LWIN
COSMOS-ALIC1-LWOUT_30MIN_PROCESSED,LWOUT_30MIN_PROCESSED,LWOUT
COSMOS-ALIC1-LWIN_MULT_30MIN_PROCESSED,LWIN_MULT_30MIN_PROCESSED,FACTOR_CALIB
COSMOS-ALIC1-LWOUT_MULT_30MIN_PROCESSED,LWOUT_MULT_30MIN_PROCESSED,FACTOR_CALIB
COSMOS-ALIC1-MSLP_30MIN_PROCESSED,MSLP_30MIN_PROCESSED,PA
COSMOS-ALIC1-PA_30MIN_PROCESSED,PA_30MIN_PROCESSED,PA
COSMOS-ALIC1-PE_30MIN_PROCESSED,PE_30MIN_PROCESSED,PE
COSMOS-ALIC1-PRECIP_30MIN_PROCESSED,PRECIP_30MIN_PROCESSED,PRECIPITATION
COSMOS-ALIC1-PRECIP_RAINE_30MIN_PROCESSED,PRECIP_RAINE_30MIN_PROCESSED,PRECIPITATION
COSMOS-ALIC1-PRECIP_TIPPING_30MIN_PROCESSED,PRECIP_TIPPING_30MIN_PROCESSED,PRECIPITATION
COSMOS-ALIC1-PRECIP_TIPPING2_30MIN_PROCESSED,PRECIP_TIPPING2_30MIN_PROCESSED,PRECIPITATION
COSMOS-ALIC1-PROFILE_VWC15_30MIN_PROCESSED,PROFILE_VWC15_30MIN_PROCESSED,VWC_SOIL_15
COSMOS-ALIC1-PROFILE_SOILEC15_30MIN_PROCESSED,PROFILE_SOILEC15_30MIN_PROCESSED,COND_15
COSMOS-ALIC1-PROFILE_VWC40_30MIN_PROCESSED,PROFILE_VWC40_30MIN_PROCESSED,VWC_SOIL_40
COSMOS-ALIC1-PROFILE_SOILEC40_30MIN_PROCESSED,PROFILE_SOILEC40_30MIN_PROCESSED,COND_40
COSMOS-ALIC1-PROFILE_VWC65_30MIN_PROCESSED,PROFILE_VWC65_30MIN_PROCESSED,VWC_SOIL_65
COSMOS-ALIC1-PROFILE_SOILEC65_30MIN_PROCESSED,PROFILE_SOILEC65_30MIN_PROCESSED,COND_65
COSMOS-ALIC1-Q_30MIN_PROCESSED,Q_30MIN_PROCESSED,Q
COSMOS-ALIC1-RHO_A_MEAN_30MIN_PROCESSED,RHO_A_MEAN_30MIN_PROCESSED,AIR_DENSITY
COSMOS-ALIC1-RH_30MIN_PROCESSED,RH_30MIN_PROCESSED,RH
COSMOS-ALIC1-RN_30MIN_PROCESSED,RN_30MIN_PROCESSED,RN
COSMOS-ALIC1-SNOWD_DISTANCE_COR_30MIN_PROCESSED,SNOWD_DISTANCE_COR_30MIN_PROCESSED,SNOWD_DISTANCE_COR
COSMOS-ALIC1-SNOWD_DISTANCE_UNC_30MIN_PROCESSED,SNOWD_DISTANCE_UNC_30MIN_PROCESSED,SNOWD_DISTANCE_UNC
COSMOS-ALIC1-STP_TSOIL50_30MIN_PROCESSED,STP_TSOIL50_30MIN_PROCESSED,TEMP_SOIL_50
COSMOS-ALIC1-STP_TSOIL20_30MIN_PROCESSED,STP_TSOIL20_30MIN_PROCESSED,TEMP_SOIL_20
COSMOS-ALIC1-STP_TSOIL10_30MIN_PROCESSED,STP_TSOIL10_30MIN_PROCESSED,TEMP_SOIL_10
COSMOS-ALIC1-STP_TSOIL5_30MIN_PROCESSED,STP_TSOIL5_30MIN_PROCESSED,TEMP_SOIL_5
COSMOS-ALIC1-STP_TSOIL2_30MIN_PROCESSED,STP_TSOIL2_30MIN_PROCESSED,TEMP_SOIL_2
COSMOS-ALIC1-SWIN_30MIN_PROCESSED,SWIN_30MIN_PROCESSED,SWIN
COSMOS-ALIC1-SWOUT_30MIN_PROCESSED,SWOUT_30MIN_PROCESSED,SWOUT
COSMOS-ALIC1-TA_30MIN_PROCESSED,TA_30MIN_PROCESSED,TEMP_AIR
