VARIABLE_NAME,DESCRIPTION,PROPERTY,QUDT_QUANTITY_KIND,PROPERTY_NAME,OBJECT,CONTEXT,DOMAIN,UNIT,QUDT_UNIT,UNIT_NAME
SNOWD_DISTANCE_COR,Snow distance corrected,SNOWD_DISTANCE_COR,Distance,,,corrected,,M,M,m
SNOWD_DISTANCE_UNC,Snow distance uncorrected,SNOWD_DISTANCE_UNC,Distance,,,uncorrected,,M,M,m
SNOWD_SIGNALQUALITY,Snow distance quality number,,,,,,,UNITLESS,UNITLESS,
STDEV_TS,Standard deviation of Sonic temperature,TEMP,Temperature,Temperature,air,,atmosphere,DEGC,DEG_C,degree celsius
STDEV_UX,Standard deviation of UX wind speed component,WS,Speed,Windspeed,windspeed,"ux, standard dev",atmosphere,MS-1,M-PER-SEC,ms-1
STDEV_UY,Standard deviation of UX wind speed component,WS,Speed,Windspeed,windspeed,"uy,standard dev",atmosphere,MS-1,M-PER-SEC,ms-1
STDEV_UZ,Standard deviation of UX wind speed component,WS,Speed,Windspeed,windspeed,"uz, standard dev",atmosphere,MS-1,M-PER-SEC,ms-1
STP_TSOIL10,Soil temperature profile (10 cm depth),TSOIL,Temperature,Soil Temperature,soil,10 cm depth,lithosphere,DEGC,DEG_C,degree celsius
STP_TSOIL2,Soil temperature profile (2 cm depth),TSOIL,Temperature,Soil Temperature,soil,2 cm depth,lithosphere,DEGC,DEG_C,degree celsius
STP_TSOIL20,Soil temperature profile (20 cm depth),TSOIL,Temperature,Soil Temperature,soil,20 cm depth,lithosphere,DEGC,DEG_C,degree celsius
STP_TSOIL5,Soil temperature profile (5 cm depth),TSOIL,Temperature,Soil Temperature,soil,5 cm depth,lithosphere,DEGC,DEG_C,degree celsius
STP_TSOIL50,Soil temperature profile (50 cm depth),TSOIL,Temperature,Soil Temperature,soil,50 cm depth,lithosphere,DEGC,DEG_C,degree celsius
SWIN,Incoming shortwave radiation,SWIN,EnergyPerArea,Radiation energy density,incoming shortwave radiation,,atmosphere,WM-2,W-PER-M2,Wm-2
SWOUT,Outgoing shortwave radiation,SWOUT,EnergyPerArea,Radiation energy density,outgoing shortwave radiation,,atmosphere,WM-2,W-PER-M2,Wm-2
TA,Air temperature,TA,Temperature,Air Temperature,air,,atmosphere,DEGC,DEG_C,degree celsius
TAU,Momentum flux,TAU,,,,,atmosphere,KGM-1S-2,KiloGM-PER-M-SEC2,kgm-1s-2
TDT10_SOILEC,Soil Electrical conductivity 10,COND,Conductivity,Electrical conductivity,soil,TDT 10,lithosphere,PCT,PERCENT,percent
TDT10_SOILPERM,Soil bulk relative permittivity 10,PERM,PermittivityRatio,Relative permittivity,soil,TDT 10,lithosphere,UNITLESS,UNITLESS,
TDT10_TSOIL,Soil temperature 10,TSOIL,Temperature,Soil Temperature,soil,TDT 10,lithosphere,DEGC,DEG_C,degree celsius
TDT10_VWC,Soil moisture content 10,VWC,,Moisture content,soil,TDT 10,lithosphere,PCT,PERCENT,percent
TDT1_SOILEC,Soil Electrical conductivity 1,COND,Conductivity,Electrical conductivity,soil,TDT 1,lithosphere,PCT,PERCENT,percent
TDT1_SOILPERM,Soil bulk relative permittivity 1,PERM,PermittivityRatio,Relative permittivity,soil,TDT 1,lithosphere,UNITLESS,UNITLESS,
TDT1_TSOIL,Soil temperature 1,TSOIL,Temperature,Soil Temperature,soil,TDT 1,lithosphere,DEGC,DEG_C,degree celsius
TDT1_VWC,Soil moisture content 1,VWC,,Moisture content,soil,TDT 1,lithosphere,PCT,PERCENT,percent
TDT2_SOILEC,Soil Electrical conductivity 2,COND,Conductivity,Electrical conductivity,soil,TDT 2,lithosphere,PCT,PERCENT,percent
TDT2_SOILPERM,Soil bulk relative permittivity 2,PERM,PermittivityRatio,Relative permittivity,soil,TDT 2,lithosphere,UNITLESS,UNITLESS,
TDT2_TSOIL,Soil temperature 2,TSOIL,Temperature,Soil Temperature,soil,TDT 2,lithosphere,DEGC,DEG_C,degree celsius
TDT2_VWC,Soil moisture content 2,VWC,,Moisture content,soil,TDT 2,lithosphere,PCT,PERCENT,percent
TDT3_SOILEC,Soil Electrical conductivity 3,COND,Conductivity,Electrical conductivity,soil,TDT 3,lithosphere,PCT,PERCENT,percent
TDT3_SOILPERM,Soil bulk relative permittivity 3,PERM,PermittivityRatio,Relative permittivity,soil,TDT 3,lithosphere,UNITLESS,UNITLESS,
