SITE_ID,START_DATETIME,END_DATETIME,REF_SOIL_MOISTURE,REF_BULKDENSITY,REF_LATTICEWATER,REF_Q0,REF_C0,REF_CTS_MOD_CORR,REF_CTS_MOD2_CORR,REF_CTS_BARE_CORR,REF_CTS_SNOW_CORR,N0_MOD,N0_MOD2,N0_BARE,N0_SNOW,COSMOS_FACTOR_PROBE_MOD,COSMOS_FACTOR_PROBE_MOD2,COSMOS_FACTOR_PROBE_BARE,COSMOS_FACTOR_PROBE_SNOW,THETA_MIN,THETA_MAX,THETA_MIN_DATE,THETA_MAX_DATE,REF_SOC,CALIBRATION_COMMENT,PROBE_EFFDEPTH,N_MIN,METHOD,SOIL_COMMENT,N_MAX,L,ACTIVE,REF_BULKDENSITY_STD,REF_LATTICEWATER_STD,REF_SOC_STD
CRICH,2014-12-08 00:00:00,2014-12-09 00:00:00,0.428,1.1,0.011,4.923,147.88396,1462.589,,,,2820.29978,,,,1,1,1,1,,,,,0.045,,probe effective depth varies from 19.9 (1 m radius) to 14.4 cm (200 m radius) on calibration day),1260.13397,2,Typical mineral soil,2381.7844,137.198,1,,,
EASTB,2014-09-16 00:00:00,2014-09-17 00:00:00,0.303,1.07,0.019,10.941,153.00708,1519.263,,,,2760.47077,,,,1,1,1,1,,,,,0.033,,probe effective depth varies from 24.4 (1 m radius) to 17.1 cm (200 m radius) on calibration day),1229.37352,2,Typical mineral soil,2362.50015,136.585,1,,,
ELMST,2017-01-19 00:00:00,2017-01-20 00:00:00,0.4,1.2,0.015,4.363,164.08954,1783.177,,,,3274.99786,,,,1,1,1,1,,,,,0.022,radial and vertical weighted mean from 0-25 cm data,19.9 (1 m radius) to 14.1 cm (200 m radius) ,1486.85789,2,Calcareous mineral soil (around 5% calcium carbonate),2959.21912,137.08,1,,,
EUSTN,2017-01-18 00:00:00,2017-01-19 00:00:00,0.189,1.27,0.003,3.748,164.101,2042.645,,,,3166.204,,,,1,1,1,1,,,,,0.029,,varies from 26.9 (1 m radius) to 18.0 cm (200 m radius) on calibration day,1451.617,2,Typical mineral soil; low lattice and bound water,2918.163,,0,,,
FINCH,2017-07-28 00:00:00,2017-07-29 00:00:00,0.279,1.26,0.007,10.482,161.42958,1803.412,,,,3028.70547,,,,1,1,1,1,,,,,0.02,radial and vertical weighted mean from 0-25 cm data,21.3 (1 m radius) to 14.7 cm (200 m radius),1388.22837,2,Calcareous mineral soil,2850.05451,137.314,1,,,
FIVET,2018-11-15 00:00:00,2018-11-16 00:00:00,0.537,0.86,0.014,8.67,164.73004,1443.267,,,,3056.49964,,,,1,1,1,1,,,,,0.039,radial and vertical weighted mean from 0-25 cm data,21.7 (1 m radius) to 16.0 cm (200 m radius),1322.59563,2,Typical mineral soil,2607.04864,136.589,1,,,
GISBN,2014-09-17 00:00:00,2014-09-18 00:00:00,0.542,0.82,0.021,10.777,153.913,1212.603,,,,2601.175,,,,1,1,1,1,,,,,0.061,,probe effective depth varies from 25.1 (1 m radius) to 18.6 cm (200 m radius) on calibration day),1116.012,2,"Mineral soil with high soil organic carbon, most likely from decomposed forest litter",2034.515,,0,,,
GLENS,2014-07-28 00:00:00,2014-07-29 00:00:00,0.608,0.36,0.014,10.652,156.18125,1263.767,,,,3097.67664,,,,1,1,1,1,,,,,0.203,,,1232.82129,2,"Extremely organic soil with little mineral material, i.e. very high soil organic carbon and extremely low bulk density",1906.2281,135.739,1,,,
GLENW,2016-10-20 00:00:00,2016-10-21 00:00:00,0.631,0.58,0.024,7.056,162.96017,1384.59,,,,3224.38143,,,,1,1,1,1,,,,,0.153,radial and vertical weighted mean from 0-25 cm data,32.9cm (1m radius) to 25.2cm (200m radius),1328.69221,2,"Organic soil, i.e. very high soil organic carbon and low bulk density",2091.69599,136.22,1,,,
HADLW,2016-12-15 00:00:00,2016-12-16 00:00:00,0.398,1.1,0.028,7.268,164.27725,1572.367,,,,2988.30397,,,,1,1,1,1,,,,,0.031,,varies from 18.6 (1 m radius) to 13.4 cm (200 m radius) on calibration day,1334.58047,2,Typical mineral soil,2499.32126,137.305,1,,,
HARTW,2014-07-30 00:00:00,2014-07-31 00:00:00,0.356,1.02,0.033,10.363,156.615,1586.476,,,,3041.416,,,,1,1,1,1,,,,,0.043,,probe effective depth varies from 22.4 (1 m radius) to 16.2 cm (200 m radius) on calibration day),1341.197,2,Typical mineral soil,2418.037,,0,,,
HARWD,2017-06-14 00:00:00,2017-06-15 00:00:00,0.591,0.33,0.009,10.294,165.533,951.864,,,,2330.633,,,,1,1,1,1,,,,,0.304,radial and vertical weighted mean from 0-25 cm data,57.6 (1 m radius) to 43.3 cm (200 m radius),921.449,2,Extremely organic forest soil with little mineral material ,1306.984,,0,,,
HENFS,2016-10-06 00:00:00,2016-10-07 00:00:00,0.507,0.97,0.022,6.568,163.76,1492.373,,,,3098.259,,,,1,1,1,1,,,,,0.077,radial and vertical weighted mean from 0-25 cm data,22.0cm (1m radius) to 16.1cm (200m radius),1353.64,2,Mineral soil with very high organic matter,2322.362,,0,,,
HILLB,2016-10-19 00:00:00,2016-10-20 00:00:00,0.45,1.15,0.021,7.537,162.364,1569.132,,,,3053.216,,,,1,1,1,1,,,,,0.042,radial and vertical weighted mean from 0-25 cm data,18.9cm (1m radius) to 13.8cm (200m radius),1371.295,2,Typical mineral soil,2521.751,,0,,,
HLACY,2018-05-03 00:00:00,2018-05-04 00:00:00,0.292,1.24,0.017,6.548,163.566,1814.936,,,,3132.148,,,,1,1,1,1,,,,,0.022,radial and vertical weighted mean from 0-25 cm data,22.5 (1 m radius) to 15.6 cm (200 m radius) ,1428.658,2,Typical mineral soil,2808.52,,0,,,
