"MASK_FILENAME","START_DATETIME","END_DATETIME"
"GISBN_LAND2_MASK_1600_1.dat",15-08-2014 12:00,05-09-2018 10:50
"GISBN_LAND2_MASK_1600_1.dat",28-10-2018 11:45,16-12-2018 14:45
"GISBN_LAND2_MASK_1600_2.dat",19-12-2018 08:40,04-05-2022 23:00
"GISBN_LAND2_MASK_1600_3.dat",02-04-2023 00:00,
"GISBN_LAND2_MASK_2560_1.dat",15-08-2014 12:00,05-09-2018 10:50
"GISBN_LAND2_MASK_2560_1.dat",28-10-2018 11:45,16-12-2018 14:45
"GISBN_LAND2_MASK_2560_2.dat",19-12-2018 08:40,04-05-2022 23:00
"GISBN_LAND2_MASK_4096_1.dat",15-08-2014 12:00,05-09-2018 10:50
"GISBN_LAND2_MASK_4096_1.dat",28-10-2018 11:45,16-12-2018 14:45
"GISBN_LAND2_MASK_4096_2.dat",19-12-2018 08:40,04-05-2022 23:00
"GISBN_LAND2_MASK_4096_3.dat",05-05-2022 01:00,02-04-2023 00:00
"GLENS_LAND1_MASK_1600_1.dat",14-05-2014 11:30,29-06-2018 09:45
"GLENS_LAND1_MASK_1600_4.dat",03-09-2020 14:25,
"GLENS_LAND1_MASK_2560_1.dat",14-05-2014 11:30,29-06-2018 09:45
"GLENS_LAND1_MASK_2560_2.dat",03-07-2018 11:20,27-08-2019 10:55
"GLENS_LAND1_MASK_2560_3.dat",27-08-2019 11:45,05-01-2020 12:45
"GLENS_LAND1_MASK_4096_1.dat",14-05-2014 11:30,29-06-2018 09:45
"GLENS_LAND1_MASK_5184_4.dat",03-09-2020 14:25,
"GLENW_LAND1_MASK_1600_1.dat",15-06-2016 15:00,14-10-2018 13:50
"GLENW_LAND1_MASK_1600_2.dat",14-11-2018 14:50,
"GLENW_LAND1_MASK_2560_1.dat",15-06-2016 15:00,14-10-2018 13:50
"GLENW_LAND1_MASK_2560_2.dat",14-11-2018 14:50,
"GLENW_LAND1_MASK_4096_1.dat",15-06-2016 15:00,14-10-2018 13:50
"GLENW_LAND1_MASK_5184_2.dat",14-11-2018 14:50,
"HADLW_LAND1_MASK_1600_1.dat",17-10-2016 10:30,21-07-2021 08:55
"HADLW_LAND1_MASK_2560_1.dat",17-10-2016 10:30,21-07-2021 08:55
"HADLW_LAND1_MASK_4096_1.dat",17-10-2016 10:30,21-07-2021 08:55
"HADLW_LAND1_MASK_4096_2.dat",21-07-2021 10:55,
"HARTW_LAND1_MASK_1280_3.dat",01-08-2018 12:30,24-02-2021 08:55
"HARTW_LAND1_MASK_1600_1.dat",20-05-2014 10:30,17-09-2015 09:50
"HARTW_LAND1_MASK_1600_2.dat",17-09-2015 10:45,20-04-2018 13:55
"HARTW_LAND1_MASK_1600_3.dat",01-08-2018 12:30,24-02-2021 08:55
