StartDate,EndDate,tblConfig_ConfigID,TypeOfAssetID,Firmware Version,Comms Type,SpecialSettings,Config File,ConfigProcedure,CommentID,ConfigDateID,AssetID,tblConfigDates_ConfigID,TypeID,Instrument_ID,Manufacturer,Model,Version,CalInterval,ServiceInterval,CalType,ServiceType,ImagePath,Attachments
05/07/2018,,101,153,1.50.0,SDI-12,,107,,0,624,1131,101,153,RG,OTT,Pluvio2,,365,365,Lab,Weighing,W:\Instrum\LSFM_DataBase\AssetType\IMG_0516.JPG,101
06/07/2018,30/08/2019,101,153,1.50.0,SDI-12,,107,,0,647,1104,101,153,RG,OTT,Pluvio2,,365,365,Lab,Weighing,W:\Instrum\LSFM_DataBase\AssetType\IMG_0516.JPG,101
06/07/2018,,132,150,CR3000.Std.31.03,Logger,,138,,0,962,852,132,150,LOGGER,Campbell Scientific Ltd,CR3000,,1460,,Lab,,W:\Instrum\LSFM_DataBase\AssetType\IMG_0512.JPG,98
12/07/2018,20/09/2019,101,153,1.50.0,SDI-12,,107,,0,646,1103,101,153,RG,OTT,Pluvio2,,365,365,Lab,Weighing,W:\Instrum\LSFM_DataBase\AssetType\IMG_0516.JPG,101
18/07/2018,,101,153,1.50.0,SDI-12,,107,,0,642,1096,101,153,RG,OTT,Pluvio2,,365,365,Lab,Weighing,W:\Instrum\LSFM_DataBase\AssetType\IMG_0516.JPG,101
19/07/2018,,101,153,1.50.0,SDI-12,,107,,0,640,1094,101,153,RG,OTT,Pluvio2,,365,365,Lab,Weighing,W:\Instrum\LSFM_DataBase\AssetType\IMG_0516.JPG,101
19/07/2018,25/09/2019,102,153,1.50.1,SDI-12,,108,,0,660,1640,102,153,RG,OTT,Pluvio2,,365,365,Lab,Weighing,W:\Instrum\LSFM_DataBase\AssetType\IMG_0516.JPG,101
19/07/2018,27/09/2019,102,153,1.50.1,SDI-12,,108,,0,661,1132,102,153,RG,OTT,Pluvio2,,365,365,Lab,Weighing,W:\Instrum\LSFM_DataBase\AssetType\IMG_0516.JPG,101
19/07/2018,23/09/2019,102,153,1.50.1,SDI-12,,108,,0,663,1627,102,153,RG,OTT,Pluvio2,,365,365,Lab,Weighing,W:\Instrum\LSFM_DataBase\AssetType\IMG_0516.JPG,101
01/08/2018,12/09/2019,101,153,1.50.0,SDI-12,,107,,0,653,1115,101,153,RG,OTT,Pluvio2,,365,365,Lab,Weighing,W:\Instrum\LSFM_DataBase\AssetType\IMG_0516.JPG,101
02/08/2018,17/09/2019,101,153,1.50.0,SDI-12,,107,,0,643,1097,101,153,RG,OTT,Pluvio2,,365,365,Lab,Weighing,W:\Instrum\LSFM_DataBase\AssetType\IMG_0516.JPG,101
02/08/2018,30/10/2019,101,153,1.50.0,SDI-12,,107,,0,648,1123,101,153,RG,OTT,Pluvio2,,365,365,Lab,Weighing,W:\Instrum\LSFM_DataBase\AssetType\IMG_0516.JPG,101
08/08/2018,13/02/2020,101,153,1.50.0,SDI-12,,107,,0,625,1631,101,153,RG,OTT,Pluvio2,,365,365,Lab,Weighing,W:\Instrum\LSFM_DataBase\AssetType\IMG_0516.JPG,101
15/08/2018,,132,150,CR3000.Std.31.03,Logger,,138,,0,972,867,132,150,LOGGER,Campbell Scientific Ltd,CR3000,,1460,,Lab,,W:\Instrum\LSFM_DataBase\AssetType\IMG_0512.JPG,98
16/08/2018,05/09/2019,101,153,1.50.0,SDI-12,,107,,0,633,1635,101,153,RG,OTT,Pluvio2,,365,365,Lab,Weighing,W:\Instrum\LSFM_DataBase\AssetType\IMG_0516.JPG,101
17/08/2018,,101,153,1.50.0,SDI-12,,107,,0,644,1101,101,153,RG,OTT,Pluvio2,,365,365,Lab,Weighing,W:\Instrum\LSFM_DataBase\AssetType\IMG_0516.JPG,101
17/08/2018,,132,150,CR3000.Std.31.03,Logger,,138,,0,990,886,132,150,LOGGER,Campbell Scientific Ltd,CR3000,,1460,,Lab,,W:\Instrum\LSFM_DataBase\AssetType\IMG_0512.JPG,98
21/08/2018,10/09/2019,101,153,1.50.0,SDI-12,,107,,0,651,1112,101,153,RG,OTT,Pluvio2,,365,365,Lab,Weighing,W:\Instrum\LSFM_DataBase\AssetType\IMG_0516.JPG,101
21/08/2018,,132,150,CR3000.Std.31.03,Logger,,138,,0,966,870,132,150,LOGGER,Campbell Scientific Ltd,CR3000,,1460,,Lab,,W:\Instrum\LSFM_DataBase\AssetType\IMG_0512.JPG,98
23/08/2018,,132,150,CR3000.Std.31.03,Logger,,138,,0,971,883,132,150,LOGGER,Campbell Scientific Ltd,CR3000,,1460,,Lab,,W:\Instrum\LSFM_DataBase\AssetType\IMG_0512.JPG,98
11/09/2018,,132,150,CR3000.Std.31.03,Logger,,138,,0,978,850,132,150,LOGGER,Campbell Scientific Ltd,CR3000,,1460,,Lab,,W:\Instrum\LSFM_DataBase\AssetType\IMG_0512.JPG,98
13/09/2018,19/09/2019,101,153,1.50.0,SDI-12,,107,,0,626,1128,101,153,RG,OTT,Pluvio2,,365,365,Lab,Weighing,W:\Instrum\LSFM_DataBase\AssetType\IMG_0516.JPG,101
21/09/2018,,132,150,CR3000.Std.31.03,Logger,,138,,0,1007,873,132,150,LOGGER,Campbell Scientific Ltd,CR3000,,1460,,Lab,,W:\Instrum\LSFM_DataBase\AssetType\IMG_0512.JPG,98
02/10/2018,22/10/2019,101,153,1.50.0,SDI-12,,107,,0,652,1114,101,153,RG,OTT,Pluvio2,,365,365,Lab,Weighing,W:\Instrum\LSFM_DataBase\AssetType\IMG_0516.JPG,101
10/10/2018,,132,150,CR3000.Std.31.03,Logger,,138,,0,976,869,132,150,LOGGER,Campbell Scientific Ltd,CR3000,,1460,,Lab,,W:\Instrum\LSFM_DataBase\AssetType\IMG_0512.JPG,98
16/10/2018,,101,153,1.50.0,SDI-12,,107,,0,655,1119,101,153,RG,OTT,Pluvio2,,365,365,Lab,Weighing,W:\Instrum\LSFM_DataBase\AssetType\IMG_0516.JPG,101
16/10/2018,,132,150,CR3000.Std.31.03,Logger,,138,,0,964,857,132,150,LOGGER,Campbell Scientific Ltd,CR3000,,1460,,Lab,,W:\Instrum\LSFM_DataBase\AssetType\IMG_0512.JPG,98
18/10/2018,29/10/2019,101,153,1.50.0,SDI-12,,107,,0,627,1126,101,153,RG,OTT,Pluvio2,,365,365,Lab,Weighing,W:\Instrum\LSFM_DataBase\AssetType\IMG_0516.JPG,101
18/10/2018,,132,150,CR3000.Std.31.03,Logger,,138,,0,967,858,132,150,LOGGER,Campbell Scientific Ltd,CR3000,,1460,,Lab,,W:\Instrum\LSFM_DataBase\AssetType\IMG_0512.JPG,98
