SITE_ID,GAMMA,DATETIME_CALCULATED,METHOD,ACTIVE
RISEH,1.2,2020-03-01 00:00:00,DEFAULT,0.0
ROTHD,1.06778,2020-03-01 00:00:00,,0.0
SHEEP,0.96133,2020-03-01 00:00:00,,0.0
SOURH,1.50099,2020-03-01 00:00:00,,0.0
SPENF,1.2,2020-03-01 00:00:00,DEFAULT,0.0
STGHT,1.2,2020-03-01 00:00:00,DEFAULT,0.0
STIPS,1.33922,2020-03-01 00:00:00,,0.0
SYDLG,1.2,2020-03-01 00:00:00,DEFAULT,0.0
TADHM,1.20915,2020-03-01 00:00:00,,0.0
WADDN,1.31926,2020-03-01 00:00:00,,0.0
WIMPL,1.2,2020-03-01 00:00:00,DEFAULT,0.0
WRTTL,1.2,2020-03-01 00:00:00,DEFAULT,0.0
WYTH1,1.2,2020-03-01 00:00:00,DEFAULT,0.0
ALIC1,1.09867,2023-12-14 00:00:00,,1.0
BALRD,1.35095,2023-12-14 00:00:00,,1.0
BICKL,1.24427,2023-12-14 00:00:00,,1.0
BUNNY,1.34837,2023-12-14 00:00:00,,1.0
CARDT,1.19455,2023-12-14 00:00:00,,1.0
CGARW,1.32808,2023-12-14 00:00:00,,1.0
CHIMN,1.19275,2023-12-14 00:00:00,,1.0
CHOBH,1.14566,2023-12-14 00:00:00,,1.0
COCHN,1.2,2023-12-14 00:00:00,DEFAULT,1.0
COCLP,1.45409,2023-12-14 00:00:00,,1.0
CRICH,1.40897,2023-12-14 00:00:00,,1.0
EASTB,1.33496,2023-12-14 00:00:00,,1.0
ELMST,1.33508,2023-12-14 00:00:00,,1.0
EUSTN,1.17794,2023-12-14 00:00:00,,1.0
FINCH,1.25183,2023-12-14 00:00:00,,1.0
FIVET,1.48337,2023-12-14 00:00:00,,1.0
GISBN,1.35008,2023-12-14 00:00:00,,1.0
GLENS,1.53208,2023-12-14 00:00:00,,1.0
GLENW,1.51004,2023-12-14 00:00:00,,1.0
HADLW,1.19197,2023-12-14 00:00:00,,1.0
HARTW,1.29439,2023-12-14 00:00:00,,1.0
HARWD,0.95947,2023-12-14 00:00:00,,1.0
HENFS,1.27221,2023-12-14 00:00:00,,1.0
HILLB,1.14335,2023-12-14 00:00:00,,1.0
HLACY,1.26859,2023-12-14 00:00:00,,1.0
HOLLN,1.29291,2023-12-14 00:00:00,,1.0
HYBRY,1.34565,2023-12-14 00:00:00,,1.0
LIZRD,1.16049,2023-12-14 00:00:00,,1.0
LODTN,1.27319,2023-12-14 00:00:00,,1.0
LULLN,1.29615,2023-12-14 00:00:00,,1.0
MOORH,1.44511,2023-12-14 00:00:00,,1.0
MOREM,1.15063,2023-12-14 00:00:00,,1.0
MORLY,1.20926,2023-12-14 00:00:00,,1.0
NWYKE,1.10177,2023-12-14 00:00:00,,1.0
PLYNL,1.32817,2023-12-14 00:00:00,,1.0
PORTN,1.17922,2023-12-14 00:00:00,,1.0
RDMER,1.31837,2023-12-14 00:00:00,,1.0
REDHL,1.24658,2023-12-14 00:00:00,,1.0
RISEH,1.47313,2023-12-14 00:00:00,,1.0
ROTHD,1.1263,2023-12-14 00:00:00,,1.0
SHEEP,1.06304,2023-12-14 00:00:00,,1.0
SOURH,1.43584,2023-12-14 00:00:00,,1.0
SPENF,1.5181,2023-12-14 00:00:00,,1.0
STGHT,1.2568,2023-12-14 00:00:00,,1.0
STIPS,1.32464,2023-12-14 00:00:00,,1.0
SYDLG,1.09742,2023-12-14 00:00:00,,1.0
TADHM,1.22135,2023-12-14 00:00:00,,1.0
WADDN,1.15034,2023-12-14 00:00:00,,1.0
WIMPL,1.15173,2023-12-14 00:00:00,,1.0
WRTTL,1.18935,2023-12-14 00:00:00,,1.0
WYTH1,1.2,2023-12-14 00:00:00,DEFAULT,1.0
