TIMESERIES_DEF,TIMESERIES_NAME,PARAMETER_ID,PROCESS_LEVEL,RESOLUTION,PERIODICITY,UNIT_ID,STATISTIC_ID
G2_STD_30MIN_RAW,Soil heat flux 2 std dev,HEATFLUX_SOIL,RAW,PT30M,PT30M,WM-2,INST
HS_30MIN_RAW,Sensible heat flux,HEATFLUX_SENSIBLE,RAW,PT30M,PT30M,WM-2,INST
LWIN_30MIN_RAW,Incoming longwave radiation,LWIN,RAW,PT30M,PT30M,WM-2,MEAN_PREC
LWIN_MULT_30MIN_RAW,Calibration factor for LWIN,FACTOR_CALIB,RAW,PT30M,PT30M,UNITLESS,INST
LWIN_STD_30MIN_RAW,Incoming longwave radiation,LWIN,RAW,PT30M,PT30M,WM-2,STDDEV_PREC
LWIN_UNC_30MIN_RAW,Incoming longwave radiation (uncorrected),LWIN_UNC,RAW,PT30M,PT30M,WM-2,MEAN_PREC
LWIN_UNC_STD_30MIN_RAW,Incoming longwave radiation (uncorrected),LWIN_UNC,RAW,PT30M,PT30M,WM-2,STDDEV_PREC
LWOUT_30MIN_RAW,Outgoing longwave radiation,LWOUT,RAW,PT30M,PT30M,WM-2,MEAN_PREC
LWOUT_MULT_30MIN_RAW,Calibration factor for LWOUT,FACTOR_CALIB,RAW,PT30M,PT30M,UNITLESS,INST
LWOUT_STD_30MIN_RAW,Outgoing longwave radiation,LWOUT,RAW,PT30M,PT30M,WM-2,STDDEV_PREC
LWOUT_UNC_30MIN_RAW,Outgoing longwave radiation (uncorrected),LWOUT_UNC,RAW,PT30M,PT30M,WM-2,MEAN_PREC
LWOUT_UNC_STD_30MIN_RAW,Outgoing longwave radiation (uncorrected),LWOUT_UNC,RAW,PT30M,PT30M,WM-2,STDDEV_PREC
METPAK_SAMPLES_30MIN_RAW,Number of half hourly samples taken,SCANS_METPAK,RAW,PT30M,PT30M,SAMPLES,TOTAL_PREC
PA_30MIN_RAW,Atmospheric pressure,PA,RAW,PT30M,PT30M,HPA,MEAN_PREC
PA_STD_30MIN_RAW,Atmospheric pressure,PA,RAW,PT30M,PT30M,HPA,STDDEV_PREC
PRECIP_30MIN_RAW,Precipitation,PRECIPITATION,RAW,PT30M,PT30M,MM,TOTAL_PREC
PRECIP_DIAG_30MIN_RAW,Precipitation diagnostic flag,DIAG_PRECIP,RAW,PT30M,PT30M,UNITLESS,INST
PRECIP_RAINE_30MIN_RAW,Precipitation,PRECIPITATION,RAW,PT30M,PT30M,MM,TOTAL_PREC
PRECIP_TIPPING_A_30MIN_RAW,Precipitation tipping bucket raingauge (counter A),PRECIPITATION,RAW,PT30M,PT30M,MM,TOTAL_PREC
PRECIP_TIPPING_B_30MIN_RAW,Precipitation tipping bucket raingauge (counter B),PRECIPITATION,RAW,PT30M,PT30M,MM,TOTAL_PREC
PRECIP_TIPPING2_30MIN_RAW,Tipping bucket raingauge,PRECIPITATION,RAW,PT30M,PT30M,MM,TOTAL_PREC
PROFILE_SOILEC_15_30MIN_RAW,Soil electrical conductivity at 15cm depth,COND_15,RAW,PT30M,PT30M,PCT,INST
PROFILE_SOILEC_40_30MIN_RAW,Soil electrical conductivity at 40cm depth,COND_40,RAW,PT30M,PT30M,PCT,INST
PROFILE_SOILEC_65_30MIN_RAW,Soil electrical conductivity at 65cm depth,COND_65,RAW,PT30M,PT30M,PCT,INST
PROFILE_VWC_15_30MIN_RAW,Soil moisture content at 15cm depth,VWC_SOIL_15,RAW,PT30M,PT30M,PCT,INST
PROFILE_VWC_40_30MIN_RAW,Soil moisture content at 40cm depth,VWC_SOIL_40,RAW,PT30M,PT30M,PCT,INST
PROFILE_VWC_65_30MIN_RAW,Soil moisture content at 65cm depth,VWC_SOIL_65,RAW,PT30M,PT30M,PCT,INST
Q_30MIN_RAW,Absolute humidity,Q,RAW,PT30M,PT30M,GM-3,MEAN_PREC
Q_STD_30MIN_RAW,Absolute humidity,Q,RAW,PT30M,PT30M,GM-3,STDDEV_PREC
RH_30MIN_RAW,Relative humidity,RH,RAW,PT30M,PT30M,PCT,MEAN_PREC
RH_INTERNAL_30MIN_RAW,Relative humidity inside the enclosure,RH,RAW,PT30M,PT30M,PCT,MEAN_PREC
RH_STD_30MIN_RAW,Relative humidity,RH,RAW,PT30M,PT30M,PCT,STDDEV_PREC
RHO_A_MEAN_30MIN_RAW,Air density,AIR_DENSITY,RAW,PT30M,PT30M,KGM-3,INST
SCANS_30MIN_RAW,Number of readings within interval,SCANS_METPAK,RAW,PT30M,PT30M,UNITLESS,TOTAL_PREC
SNOWD_DISTANCE_COR_30MIN_RAW,Snow depth,SNOWD_DISTANCE_COR,RAW,PT30M,PT30M,M,INST
SNOWD_DISTANCE_UNC_30MIN_RAW,Distance between sensor and snow surface (uncorrected),SNOWD_DISTANCE_UNC,RAW,PT30M,PT30M,M,INST
SNOWD_SIGNALQUALITY_30MIN_RAW,Quality number,SNOWD_SIGNALQUALITY,RAW,PT30M,PT30M,UNITLESS,STDDEV_PREC
STDEV_TS_30MIN_RAW,Standard deviation of Sonic temperature,TEMP_SONIC,RAW,PT30M,PT30M,MS-1,STDDEV_PREC
STDEV_UX_30MIN_RAW,Standard deviation of UX wind speed component,WS,RAW,PT30M,PT30M,MS-1,STDDEV_PREC
STDEV_UY_30MIN_RAW,Standard deviation of UY wind speed component,WS,RAW,PT30M,PT30M,MS-1,STDDEV_PREC
STDEV_UZ_30MIN_RAW,Standard deviation of UZ wind speed component,WS,RAW,PT30M,PT30M,MS-1,STDDEV_PREC
STP_TSOIL_2_30MIN_RAW,Soil temperature profile at 2cm depth,TEMP_SOIL_2,RAW,PT30M,PT30M,DEGC,MEAN_PREC
STP_TSOIL_5_30MIN_RAW,Soil temperature profile at 5cm depth,TEMP_SOIL_5,RAW,PT30M,PT30M,DEGC,MEAN_PREC
STP_TSOIL_10_30MIN_RAW,Soil temperature profile at 10cm depth,TEMP_SOIL_10,RAW,PT30M,PT30M,DEGC,MEAN_PREC
STP_TSOIL_20_30MIN_RAW,Soil temperature profile at 20cm depth,TEMP_SOIL_20,RAW,PT30M,PT30M,DEGC,MEAN_PREC
STP_TSOIL_50_30MIN_RAW,Soil temperature profile at 50cm depth,TEMP_SOIL_50,RAW,PT30M,PT30M,DEGC,MEAN_PREC
SWIN_30MIN_RAW,Incoming shortwave radiation,SWIN,RAW,PT30M,PT30M,WM-2,MEAN_PREC
SWIN_MULT_30MIN_RAW,Calibration factor for SWIN,FACTOR_CALIB,RAW,PT30M,PT30M,UNITLESS,INST
SWIN_STD_30MIN_RAW,Incoming shortwave radiation,SWIN,RAW,PT30M,PT30M,WM-2,STDDEV_PREC
SWOUT_30MIN_RAW,Outgoing shortwave radiation,SWOUT,RAW,PT30M,PT30M,WM-2,MEAN_PREC
SWOUT_MULT_30MIN_RAW,Calibration factor for SWOUT,FACTOR_CALIB,RAW,PT30M,PT30M,UNITLESS,INST
SWOUT_STD_30MIN_RAW,Outgoing shortwave radiation,SWOUT,RAW,PT30M,PT30M,WM-2,STDDEV_PREC
TA_30MIN_RAW,Air temperature,TEMP_AIR,RAW,PT30M,PT30M,DEGC,MEAN_PREC
TA_STD_30MIN_RAW,Air temperature,TEMP_AIR,RAW,PT30M,PT30M,DEGC,STDDEV_PREC
TAU_30MIN_RAW,Momentum flux,FLUX_MOM,RAW,PT30M,PT30M,KGM-1S-2,INST
TBR_TIP_30MIN_RAW,Calibration factor for tipping bucket (mm per tip),FACTOR_CALIB,RAW,PT30M,PT30M,MM,INST
TDT_SOILEC_5_30MIN_RAW,Soil electrical conductivity at 5cm depth,COND_5,RAW,PT30M,PT30M,PCT,INST
TDT_SOILEC_10_30MIN_RAW,Soil electrical conductivity at 10cm depth,COND_10,RAW,PT30M,PT30M,PCT,INST
TDT_SOILEC_15_30MIN_RAW,Soil electrical conductivity at 15cm depth,COND_15,RAW,PT30M,PT30M,PCT,INST
TDT_SOILEC_25_30MIN_RAW,Soil electrical conductivity at 25cm depth,COND_25,RAW,PT30M,PT30M,PCT,INST
TDT_SOILEC_50_30MIN_RAW,Soil electrical conductivity at 50cm depth,COND_50,RAW,PT30M,PT30M,PCT,INST
TDT_SOILPERM_5_30MIN_RAW,Soil bulk relative permittivity at 5cm depth,PERM_5,RAW,PT30M,PT30M,UNITLESS,INST
TDT_SOILPERM_10_30MIN_RAW,Soil bulk relative permittivity at 10cm depth,PERM_10,RAW,PT30M,PT30M,UNITLESS,INST
TDT_SOILPERM_15_30MIN_RAW,Soil bulk relative permittivity at 15cm depth,PERM_15,RAW,PT30M,PT30M,UNITLESS,INST
TDT_SOILPERM_25_30MIN_RAW,Soil bulk relative permittivity at 25cm depth,PERM_25,RAW,PT30M,PT30M,UNITLESS,INST
TDT_SOILPERM_50_30MIN_RAW,Soil bulk relative permittivity at 50cm depth,PERM_50,RAW,PT30M,PT30M,UNITLESS,INST
TDT_TSOIL_5_30MIN_RAW,Soil temperature at 5cm depth,TEMP_SOIL_5,RAW,PT30M,PT30M,DEGC,INST
